Timestamp,tiltCompensatedHeading,pitch,roll
2022-10-23_20:16:51,"[93.32796673490309, 0.03387764611236473, 0.06161487984311333]"
2022-10-23_20:17:35,"[93.19606356375647, 0.03443821713316293, 0.06068190843512727]"
2022-10-23_20:18:19,"[92.24085210226092, 0.033513569438590456, 0.05953222007524834]"
2022-10-23_20:19:03,"[91.37623567964383, 0.03011375822217419, 0.05790620524810726]"
2022-10-23_20:19:48,"[91.37040852178956, 0.03341845117972757, 0.06025949723402651]"
2022-10-23_20:20:32,"[90.32791352252406, 0.03254180533811404, 0.05829870205384728]"
2022-10-23_20:21:16,"[90.25162090115096, 0.03483871147995296, 0.0688243021002961]"
2022-10-23_20:22:00,"[92.11074387236783, 0.029066928998870995, 0.05510514002638113]"
2022-10-23_20:22:44,"[92.79381657065744, 0.03287117311531426, 0.0579917747988294]"
2022-10-23_20:23:28,"[90.75231201886419, 0.03415574590714611, 0.05989051904328133]"
2022-10-23_20:24:13,"[90.20601945190711, 0.03316110853937216, 0.06259617785504099]"
2022-10-23_20:24:57,"[89.95124136816013, 0.03496687423184836, 0.05881171830270788]"
2022-10-23_20:25:41,"[89.68659556518719, 0.03265294186146623, 0.0606322539000334]"
2022-10-23_20:26:25,"[89.3620869295027, 0.03631660933844116, 0.06201886334350533]"
2022-10-23_20:27:09,"[84.28061333143306, 0.05805405820772749, 0.37533126407679634]"
2022-10-23_20:27:53,"[88.079542069536, 0.06374432366015721, 0.37683545154084275]"
2022-10-23_20:28:37,"[84.38909171777333, 0.06428427500638383, 0.37877972190173065]"
2022-10-23_20:29:22,"[87.48687059601504, 0.06399879524330182, 0.3787367806583286]"
2022-10-23_20:30:06,"[86.52750253074096, 0.06516500218725535, 0.3801525670346955]"
2022-10-23_20:30:50,"[88.0846328011263, 0.06603648062969597, 0.3785556791078405]"
2022-10-23_20:31:34,"[88.53270105777462, 0.0646480141085338, 0.3768954896398299]"
2022-10-23_20:32:18,"[87.23067878776763, 0.06452170588966578, 0.37877972190173065]"
2022-10-23_20:33:02,"[87.67483051540059, 0.0636100485938733, 0.3795795524152614]"
2022-10-23_20:33:47,"[85.79032344113676, 0.06474735760762668, 0.3762283755132946]"
2022-10-23_20:34:31,"[86.17347096615029, 0.06095149048380156, 0.3797538318803672]"
2022-10-23_20:35:15,"[84.88619675229307, 0.060791207394614265, 0.37589668501724943]"
2022-10-23_20:35:59,"[86.03855200574787, 0.06222383636493214, 0.37366170590752035]"
2022-10-23_20:36:43,"[87.81166583577098, 0.06362799796761953, 0.3778476338757086]"
2022-10-23_20:37:27,"[88.31022518373787, 0.06728668935215333, 0.37558074576955075]"
2022-10-23_20:38:11,"[87.78066398228708, 0.0631806382109297, 0.3765314841697678]"
2022-10-23_20:38:56,"[86.54264673721936, 0.06666274148038591, 0.37662392948832435]"
2022-10-23_20:39:40,"[87.38054212165667, 0.06284770458884285, 0.37537163404969076]"
2022-10-23_20:40:24,"[95.56946780475464, 0.09211368201016684, 0.29321269890330964]"
2022-10-23_20:41:08,"[93.23892293567566, 0.0758119545272303, 0.29524275458549937]"
2022-10-23_20:41:52,"[91.50292364155831, 0.07517743858687996, 0.2965773687490436]"
2022-10-23_20:42:36,"[91.4457971842776, 0.07810270940574454, 0.2951934764870259]"
2022-10-23_20:43:21,"[91.34911823579046, 0.08020808105469306, 0.2961035800112265]"
2022-10-23_20:44:05,"[90.43835119388879, 0.07696276488672957, 0.293371758511186]"
2022-10-23_20:44:49,"[89.8722661046338, 0.07690452354313829, 0.2960181583090748]"
2022-10-23_20:45:33,"[89.13672424361644, 0.07927488327504617, 0.295569834830969]"
2022-10-23_20:46:17,"[89.61723376156593, 0.07804743334042331, 0.2924159829840311]"
2022-10-23_20:47:01,"[90.08702587588115, 0.07734729455913229, 0.2976924377308449]"
2022-10-23_20:47:46,"[88.71619435092538, 0.07948139366457883, 0.2943663603699573]"
2022-10-23_20:48:30,"[90.18395588412875, 0.07448819883492855, 0.29339791880683097]"
2022-10-23_20:49:14,"[98.35263981918003, 0.017765270965552978, -0.1663559829775146]"
2022-10-23_20:49:58,"[97.65134326319098, 0.017701169722177775, -0.1664680402501665]"
2022-10-23_20:50:42,"[98.02364931816078, 0.020655205581720803, -0.16674917571620515]"
2022-10-23_20:51:26,"[98.11758411257847, 0.018431901460618693, -0.16763526798472225]"
2022-10-23_20:52:10,"[97.54977976378929, 0.021068148515121846, -0.1684181659983194]"
2022-10-23_20:52:55,"[98.02278315481463, 0.020839714267974888, -0.16464248635124884]"
2022-10-23_20:53:39,"[98.65920458673469, 0.017737625550279603, -0.16705402954372417]"
2022-10-23_20:54:23,"[97.61330933119658, 0.01852333774429688, -0.165343906024852]"
2022-10-23_20:55:07,"[98.89406738019157, 0.0196719349261977, -0.16838314647494945]"
2022-10-23_20:55:51,"[98.43664851088408, 0.018727126561144954, -0.1660061430032844]"
2022-10-23_20:56:35,"[98.40394500833277, 0.02043462704517072, -0.16471892279191988]"
2022-10-23_20:57:20,"[96.8572492154101, 0.021575977986340943, -0.16460288978023152]"
2022-10-23_20:58:04,"[97.66000917964435, 0.021520615643635027, -0.16417655811125292]"
2022-10-23_20:58:48,"[97.42278396424383, 0.017288265359306276, -0.1660831838009512]"
2022-10-23_20:59:32,"[97.19445293188893, 0.01825947309005611, -0.16245841565787278]"
2022-10-23_21:00:16,"[96.66321742834597, 0.022528374991390418, -0.16776116464744797]"
2022-10-23_21:01:00,"[96.19235964765369, 0.02183507243171959, -0.16284624245880644]"
2022-10-23_21:01:44,"[97.14314921878393, 0.019239347684541896, -0.16417234405305367]"
2022-10-23_21:02:29,"[98.812264350606, 0.020138864410311007, -0.16616153254158744]"
2022-10-23_21:03:13,"[98.0501243176331, 0.018075280467199563, -0.16655641120493003]"
2022-10-23_21:03:57,"[98.14169120545743, 0.02067532191276803, -0.1623353056563256]"
2022-10-23_21:04:41,"[99.2653513106185, 0.025769711261453335, -0.16557631024631353]"
2022-10-23_21:05:25,"[99.54949332083604, 0.02014354797187978, -0.1633173203597622]"
2022-10-23_21:06:09,"[98.6111845651098, 0.021568389779171138, -0.1667075226055862]"
2022-10-23_21:06:54,"[99.86870241651594, 0.021584370762169146, -0.1637056769731889]"
